dayDate,ageGroup,avgIsolatedAmount7Days
2020-06-16T00:00:00.000Z,5-11,227
2020-06-16T00:00:00.000Z,12-15,112
2020-06-16T00:00:00.000Z,16-19,128
2020-06-17T00:00:00.000Z,0-4,52
2020-06-17T00:00:00.000Z,5-11,217
2020-06-17T00:00:00.000Z,12-15,113
2020-06-17T00:00:00.000Z,16-19,141
2020-06-18T00:00:00.000Z,0-4,49
2020-06-18T00:00:00.000Z,5-11,207
2020-06-18T00:00:00.000Z,12-15,118
2020-06-18T00:00:00.000Z,16-19,157
2020-06-19T00:00:00.000Z,0-4,48
2020-06-19T00:00:00.000Z,5-11,205
2020-06-19T00:00:00.000Z,12-15,119
2020-06-19T00:00:00.000Z,16-19,186
2020-06-20T00:00:00.000Z,0-4,47
2020-06-20T00:00:00.000Z,5-11,223
2020-06-20T00:00:00.000Z,12-15,121
2020-06-20T00:00:00.000Z,16-19,193
2020-06-21T00:00:00.000Z,0-4,47
2020-06-21T00:00:00.000Z,5-11,235
2020-06-21T00:00:00.000Z,12-15,129
2020-06-21T00:00:00.000Z,16-19,199
2020-06-22T00:00:00.000Z,0-4,46
2020-06-22T00:00:00.000Z,5-11,244
2020-06-22T00:00:00.000Z,12-15,143
2020-06-22T00:00:00.000Z,16-19,195
2020-06-23T00:00:00.000Z,0-4,51
2020-06-23T00:00:00.000Z,5-11,256
2020-06-23T00:00:00.000Z,12-15,153
2020-06-23T00:00:00.000Z,16-19,211
2020-06-24T00:00:00.000Z,0-4,55
2020-06-24T00:00:00.000Z,5-11,288
2020-06-24T00:00:00.000Z,12-15,176
2020-06-24T00:00:00.000Z,16-19,234
2020-06-25T00:00:00.000Z,0-4,60
2020-06-25T00:00:00.000Z,5-11,324
2020-06-25T00:00:00.000Z,12-15,181
2020-06-25T00:00:00.000Z,16-19,241
2020-06-26T00:00:00.000Z,0-4,62
2020-06-26T00:00:00.000Z,5-11,345
2020-06-26T00:00:00.000Z,12-15,177
2020-06-26T00:00:00.000Z,16-19,219
2020-06-27T00:00:00.000Z,0-4,63
2020-06-27T00:00:00.000Z,5-11,331
2020-06-27T00:00:00.000Z,12-15,173
2020-06-27T00:00:00.000Z,16-19,215
2020-06-28T00:00:00.000Z,0-4,73
2020-06-28T00:00:00.000Z,5-11,349
2020-06-28T00:00:00.000Z,12-15,176
2020-06-28T00:00:00.000Z,16-19,231
2020-06-29T00:00:00.000Z,0-4,83
2020-06-29T00:00:00.000Z,5-11,389
2020-06-29T00:00:00.000Z,12-15,197
2020-06-29T00:00:00.000Z,16-19,259
2020-06-30T00:00:00.000Z,0-4,90
2020-06-30T00:00:00.000Z,5-11,444
2020-06-30T00:00:00.000Z,12-15,209
2020-06-30T00:00:00.000Z,16-19,269
2020-07-01T00:00:00.000Z,0-4,92
2020-07-01T00:00:00.000Z,5-11,484
2020-07-01T00:00:00.000Z,12-15,217
2020-07-01T00:00:00.000Z,16-19,253
2020-07-02T00:00:00.000Z,0-4,91
2020-07-02T00:00:00.000Z,5-11,497
2020-07-02T00:00:00.000Z,12-15,225
2020-07-02T00:00:00.000Z,16-19,247
2020-07-03T00:00:00.000Z,0-4,100
2020-07-03T00:00:00.000Z,5-11,522
2020-07-03T00:00:00.000Z,12-15,252
2020-07-03T00:00:00.000Z,16-19,265
2020-07-04T00:00:00.000Z,0-4,107
2020-07-04T00:00:00.000Z,5-11,582
2020-07-04T00:00:00.000Z,12-15,276
2020-07-04T00:00:00.000Z,16-19,272
2020-07-05T00:00:00.000Z,0-4,110
2020-07-05T00:00:00.000Z,5-11,688
2020-07-05T00:00:00.000Z,12-15,322
2020-07-05T00:00:00.000Z,16-19,299
2020-07-06T00:00:00.000Z,0-4,105
2020-07-06T00:00:00.000Z,5-11,741
2020-07-06T00:00:00.000Z,12-15,325
2020-07-06T00:00:00.000Z,16-19,318
2020-07-07T00:00:00.000Z,0-4,104
2020-07-07T00:00:00.000Z,5-11,764
2020-07-07T00:00:00.000Z,12-15,341
2020-07-07T00:00:00.000Z,16-19,351
2020-07-08T00:00:00.000Z,0-4,120
2020-07-08T00:00:00.000Z,5-11,792
2020-07-08T00:00:00.000Z,12-15,348
2020-07-08T00:00:00.000Z,16-19,382
2020-07-09T00:00:00.000Z,0-4,135
2020-07-09T00:00:00.000Z,5-11,839
2020-07-09T00:00:00.000Z,12-15,367
2020-07-09T00:00:00.000Z,16-19,424
2020-07-10T00:00:00.000Z,0-4,136
2020-07-10T00:00:00.000Z,5-11,856
2020-07-10T00:00:00.000Z,12-15,363
2020-07-10T00:00:00.000Z,16-19,444
2020-07-11T00:00:00.000Z,0-4,140
2020-07-11T00:00:00.000Z,5-11,825
2020-07-11T00:00:00.000Z,12-15,356
