date,new_hospitalized,Counthospitalized,Counthospitalized_without_release,CountHardStatus,CountMediumStatus,CountEasyStatus,CountBreath,CountDeath,total_beds,StandardOccupancy,num_visits,patients_home,patients_hotel,CountBreathCum,CountDeathCum,CountCriticalStatus,CountSeriousCriticalCum,serious_critical_new
2020-08-08T00:00:00.000Z,99,903,866,388,177,337,101,13,2020,0.447029702970297,4537,19113,3346,617,659,2,1881,51
2020-08-09T00:00:00.000Z,146,1005,850,387,199,418,110,7,2020,0.4975247524752475,7231,17626,3441,631,666,2,1928,52
2020-08-10T00:00:00.000Z,104,939,813,392,183,364,109,15,2020,0.4648514851485149,6454,18163,3230,638,681,3,1967,51
2020-08-11T00:00:00.000Z,104,904,784,373,191,340,110,11,2020,0.4475247524752475,6784,19030,3206,642,692,1,2010,43
2020-08-12T00:00:00.000Z,110,880,760,371,171,337,107,15,2020,0.4356435643564356,6212,19376,3343,648,707,4,2050,46
2020-08-13T00:00:00.000Z,144,891,786,371,178,342,108,16,2020,0.4410891089108911,5980,19605,3387,660,723,3,2095,61
2020-08-14T00:00:00.000Z,117,892,809,369,178,343,103,12,2020,0.4415841584158416,4975,20003,3350,664,735,3,2130,43
2020-08-15T00:00:00.000Z,119,922,877,383,180,358,110,10,2020,0.4564356435643565,4338,19972,3491,673,745,3,2166,48
2020-08-16T00:00:00.000Z,134,989,846,374,196,418,107,19,2020,0.4896039603960396,6799,18859,3435,683,764,3,2212,51
2020-08-17T00:00:00.000Z,106,949,826,392,182,375,109,4,2020,0.4698019801980198,5669,19575,3179,689,768,114,2361,62
2020-08-18T00:00:00.000Z,142,956,823,396,185,372,112,14,2020,0.4732673267326732,5812,20148,3115,697,782,120,2421,62
2020-08-19T00:00:00.000Z,112,924,825,383,178,362,112,12,2020,0.4574257425742574,5561,20294,3100,702,794,118,2460,46
2020-08-20T00:00:00.000Z,114,927,804,394,177,350,110,12,2020,0.4589108910891089,5837,20462,2979,710,806,118,2516,60
2020-08-21T00:00:00.000Z,129,923,849,401,170,349,111,13,2020,0.456930693069307,4859,20347,2935,719,819,117,2561,51
2020-08-22T00:00:00.000Z,97,936,902,403,179,352,113,10,2020,0.4633663366336634,4228,20424,2835,728,829,121,2599,39
2020-08-23T00:00:00.000Z,132,1021,910,406,210,397,113,13,2020,0.5054455445544555,6501,19299,2762,740,842,121,2669,64
2020-08-24T00:00:00.000Z,129,1025,894,425,201,397,117,16,2020,0.5074257425742574,5683,20178,2372,753,858,125,2741,71
2020-08-25T00:00:00.000Z,114,993,865,427,181,378,116,19,2020,0.4915841584158416,5789,21509,2202,760,877,123,2793,59
2020-08-26T00:00:00.000Z,165,1020,886,418,190,404,116,11,2020,0.504950495049505,5676,19593,2248,769,888,121,2847,55
2020-08-27T00:00:00.000Z,137,1014,875,422,192,398,115,11,2020,0.501980198019802,5724,20186,2184,775,899,123,2905,63
2020-08-28T00:00:00.000Z,106,970,875,417,202,347,110,12,2020,0.4801980198019802,4944,20122,2216,780,911,120,2950,54
2020-08-29T00:00:00.000Z,99,968,925,439,196,326,115,5,2020,0.4792079207920792,4437,20210,2267,786,916,126,2988,45
2020-08-30T00:00:00.000Z,170,1080,940,452,212,408,124,14,2020,0.5346534653465347,6685,18979,2241,795,930,132,3049,63
2020-08-31T00:00:00.000Z,154,1077,917,435,206,431,118,23,2020,0.5331683168316832,6011,19879,2012,802,953,124,3107,66
2020-09-01T00:00:00.000Z,122,1022,895,416,199,400,115,15,2020,0.505940594059406,6663,21172,1948,811,968,123,3155,50
2020-09-02T00:00:00.000Z,121,1003,870,414,171,410,119,14,2020,0.4965346534653465,6178,22899,1999,825,982,123,3215,66
2020-09-03T00:00:00.000Z,141,996,866,402,157,423,113,16,2020,0.4930693069306931,6145,23702,2006,831,998,117,3251,40
2020-09-04T00:00:00.000Z,129,984,895,414,147,415,117,12,2020,0.4871287128712871,5055,24997,2070,838,1010,120,3306,61
2020-09-05T00:00:00.000Z,121,1003,962,437,151,405,124,15,2020,0.4965346534653465,4582,25322,2257,852,1025,129,3361,65
2020-09-06T00:00:00.000Z,174,1124,965,454,181,474,129,12,2020,0.5564356435643565,6866,25124,2180,861,1037,132,3422,81
2020-09-07T00:00:00.000Z,166,1116,990,456,184,451,131,17,2020,0.5524752475247525,6184,26999,2035,871,1054,136,3477,64
2020-09-08T00:00:00.000Z,163,1138,992,458,186,478,140,20,2020,0.5633663366336633,6068,28955,2084,880,1074,141,3544,64
2020-09-09T00:00:00.000Z,177,1152,1018,484,189,466,136,15,2020,0.5702970297029702,6022,31279,2224,888,1089,146,3631,89
2020-09-10T00:00:00.000Z,170,1179,1049,492,199,472,136,14,2020,0.5836633663366336,5985,33266,2345,898,1103,151,3705,77
2020-09-11T00:00:00.000Z,150,1185,1059,487,204,483,129,20,2020,0.5866336633663366,5159,35273,2484,904,1123,140,3762,59
2020-09-12T00:00:00.000Z,145,1190,1120,516,204,453,130,15,2020,0.5891089108910891,4702,36386,2733,913,1138,138,3835,78
2020-09-13T00:00:00.000Z,206,1311,1144,517,235,549,132,17,2020,0.649009900990099,6991,36169,2751,922,1155,150,3916,79
2020-09-14T00:00:00.000Z,213,1344,1158,524,235,575,131,20,2020,0.6653465346534654,6126,38651,2602,933,1175,144,3993,79
2020-09-15T00:00:00.000Z,199,1342,1189,515,232,554,131,16,2020,0.6643564356435644,6117,41673,2758,943,1191,138,4068,77
2020-09-16T00:00:00.000Z,207,1369,1202,529,271,551,135,26,2020,0.6777227722772278,6190,43158,2973,954,1217,139,4160,100
2020-09-17T00:00:00.000Z,215,1404,1211,564,253,553,140,17,2020,0.695049504950495,6129,44577,3130,971,1234,155,4261,112
2020-09-18T00:00:00.000Z,197,1399,1264,586,256,521,143,20,2020,0.6925742574257425,5016,46981,3113,985,1254,153,4354,104
2020-09-19T00:00:00.000Z,156,1392,1293,611,254,504,147,27,2020,0.689108910891089,4477,49043,3340,999,1281,162,4442,82
2020-09-20T00:00:00.000Z,219,1495,1385,627,242,598,157,21,2020,0.7400990099009901,5141,48951,3384,1012,1302,166,4525,93
2020-09-21T00:00:00.000Z,223,1576,1336,649,278,612,161,32,2020,0.7801980198019802,6579,48160,3302,1029,1334,173,4640,120
2020-09-22T00:00:00.000Z,244,1559,1365,633,293,601,160,26,2020,0.7717821782178218,5853,51555,3300,1046,1360,178,4741,98
2020-09-23T00:00:00.000Z,241,1591,1404,667,266,616,150,25,2020,0.7876237623762377,5659,54602,3419,1053,1385,167,4850,129
2020-09-24T00:00:00.000Z,259,1628,1412,662,278,633,148,31,2020,0.805940594059406,5817,58062,3456,1068,1416,193,4972,112
