date,dailyDoublingRate,numberOfDoublingDays
2020-09-11T00:00:00.000Z,6.343178621659629,11.27046361270589
2020-09-12T00:00:00.000Z,5.352025746153499,13.29468036645413
2020-09-13T00:00:00.000Z,4.180441059547224,16.9249269406321
2020-09-14T00:00:00.000Z,5.691677377892024,12.52163470601417
2020-09-15T00:00:00.000Z,7.783225021852314,9.247899764318245
2020-09-16T00:00:00.000Z,2.052113818271573,34.12262909451683
2020-09-17T00:00:00.000Z,4.235911964896544,16.70776526967509
2020-09-18T00:00:00.000Z,4.521197255460896,15.67507317484433
2020-09-19T00:00:00.000Z,3.456696159578865,20.39691348941666
2020-09-20T00:00:00.000Z,-1.8269319191981053,-37.5928655265168
2020-09-21T00:00:00.000Z,-2.9131670153308202,-23.44531438767351
2020-09-22T00:00:00.000Z,4.788705216440459,14.81849802611912
2020-09-23T00:00:00.000Z,7.899825062148991,9.11639141149104
2020-09-24T00:00:00.000Z,8.21458031117559,8.780024850367049
2020-09-25T00:00:00.000Z,8.024707583125235,8.979778161525664
2020-09-26T00:00:00.000Z,5.0391746557010055,14.09890670730683
2020-09-27T00:00:00.000Z,1.9921703073965131,35.13900469598988
2020-09-28T00:00:00.000Z,-6.164119103318277,-10.89462166822377
2020-09-29T00:00:00.000Z,-4.920730969381582,-13.73677641176706
2020-09-30T00:00:00.000Z,4.913191792678595,14.45168279841151
2020-10-01T00:00:00.000Z,-1.324856837814226,-51.97130365875186
2020-10-02T00:00:00.000Z,-3.2803816456007504,-20.78157724194236
2020-10-03T00:00:00.000Z,-8.354520492220075,-7.945059939576433
2020-10-04T00:00:00.000Z,-1.384342229373581,-49.72312875453316
2020-10-05T00:00:00.000Z,12.83933946605902,5.738218153980125
2020-10-06T00:00:00.000Z,-0.675625140235836,-102.2464907682284
2020-10-07T00:00:00.000Z,-12.33684738955823,-5.264334562970571
2020-10-08T00:00:00.000Z,-11.37294201861131,-5.74115854296912
2020-10-09T00:00:00.000Z,-13.23296610990857,-4.883263556670471
2020-10-10T00:00:00.000Z,-6.2479055739658165,-10.7437726707564
2020-10-11T00:00:00.000Z,-5.1352317407363355,-13.14825682576141
2020-10-12T00:00:00.000Z,-10.67989617349076,-6.137109153485669
2020-10-13T00:00:00.000Z,-11.19287555659714,-5.839324838196951
2020-10-14T00:00:00.000Z,-10.80382118541194,-6.062583241143115
2020-10-15T00:00:00.000Z,-12.674556213017752,-5.114408670180787
2020-10-16T00:00:00.000Z,-9.920043366309795,-6.634733164654647
2020-10-17T00:00:00.000Z,-3.7911839927787017,-17.93432617983262
2020-10-18T00:00:00.000Z,-5.64503518373729,-11.92895174236357
2020-10-19T00:00:00.000Z,-13.68909512761021,-4.708424947146734
2020-10-20T00:00:00.000Z,-10.94470046082949,-5.97990887487517
2020-10-21T00:00:00.000Z,-10.198361362656321,-6.443866776990983
2020-10-22T00:00:00.000Z,-6.974789915966384,-9.587143893407648
2020-10-23T00:00:00.000Z,-8.37527422893276,-7.924487899693415
2020-10-24T00:00:00.000Z,-2.338028169014095,-29.29871640437756
2020-10-25T00:00:00.000Z,-4.586097490625907,-14.76481087759704
2020-10-26T00:00:00.000Z,-9.59794437726723,-6.869428524478869
2020-10-27T00:00:00.000Z,-5.132920916234751,-13.15433493270572
2020-10-28T00:00:00.000Z,-7.860415932322873,-8.466897980161239
