dayDate,ageGroup,isolated,isolatedNormalized,avgIsolatedAmount7Days
2020-05-15T00:00:00.000Z,12-15,,,4
2020-05-15T00:00:00.000Z,16-19,,,9
2020-05-16T00:00:00.000Z,0-4,,,7
2020-05-16T00:00:00.000Z,5-11,,,11
2020-05-16T00:00:00.000Z,12-15,,,4
2020-05-16T00:00:00.000Z,16-19,,,10
2020-05-17T00:00:00.000Z,0-4,,,9
2020-05-17T00:00:00.000Z,5-11,,,13
2020-05-17T00:00:00.000Z,12-15,,,4
2020-05-17T00:00:00.000Z,16-19,,,12
2020-05-18T00:00:00.000Z,0-4,,,10
2020-05-18T00:00:00.000Z,5-11,,,19
2020-05-18T00:00:00.000Z,12-15,,,6
2020-05-18T00:00:00.000Z,16-19,,,15
2020-05-19T00:00:00.000Z,0-4,,,10
2020-05-19T00:00:00.000Z,5-11,,,20
2020-05-19T00:00:00.000Z,12-15,,,7
2020-05-19T00:00:00.000Z,16-19,,,15
2020-05-20T00:00:00.000Z,0-4,,,11
2020-05-20T00:00:00.000Z,5-11,,,22
2020-05-20T00:00:00.000Z,12-15,,,7
2020-05-20T00:00:00.000Z,16-19,,,16
2020-05-21T00:00:00.000Z,0-4,,,10
2020-05-21T00:00:00.000Z,5-11,,,24
2020-05-21T00:00:00.000Z,12-15,,,8
2020-05-21T00:00:00.000Z,16-19,,,16
2020-05-22T00:00:00.000Z,0-4,,,11
2020-05-22T00:00:00.000Z,5-11,,,22
2020-05-22T00:00:00.000Z,12-15,,,8
2020-05-22T00:00:00.000Z,16-19,,,17
2020-05-23T00:00:00.000Z,0-4,,,11
2020-05-23T00:00:00.000Z,5-11,,,23
2020-05-23T00:00:00.000Z,12-15,,,8
2020-05-23T00:00:00.000Z,16-19,,,16
2020-05-24T00:00:00.000Z,0-4,,,11
2020-05-24T00:00:00.000Z,5-11,,,22
2020-05-24T00:00:00.000Z,12-15,,,9
2020-05-24T00:00:00.000Z,16-19,,,16
2020-05-25T00:00:00.000Z,0-4,,,11
2020-05-25T00:00:00.000Z,5-11,,,18
2020-05-25T00:00:00.000Z,12-15,,,9
2020-05-25T00:00:00.000Z,16-19,,,12
2020-05-26T00:00:00.000Z,0-4,,,11
2020-05-26T00:00:00.000Z,5-11,,,22
2020-05-26T00:00:00.000Z,12-15,,,13
2020-05-26T00:00:00.000Z,16-19,,,12
2020-05-27T00:00:00.000Z,0-4,,,10
2020-05-27T00:00:00.000Z,5-11,,,24
2020-05-27T00:00:00.000Z,12-15,,,18
2020-05-27T00:00:00.000Z,16-19,,,17
2020-05-28T00:00:00.000Z,0-4,,,8
2020-05-28T00:00:00.000Z,5-11,,,25
2020-05-28T00:00:00.000Z,12-15,,,28
2020-05-28T00:00:00.000Z,16-19,,,29
2020-05-29T00:00:00.000Z,0-4,,,8
2020-05-29T00:00:00.000Z,5-11,,,30
2020-05-29T00:00:00.000Z,12-15,,,37
2020-05-29T00:00:00.000Z,16-19,,,48
2020-05-30T00:00:00.000Z,0-4,,,9
2020-05-30T00:00:00.000Z,5-11,,,37
2020-05-30T00:00:00.000Z,12-15,,,46
2020-05-30T00:00:00.000Z,16-19,,,63
2020-05-31T00:00:00.000Z,0-4,,,9
2020-05-31T00:00:00.000Z,5-11,,,50
2020-05-31T00:00:00.000Z,12-15,,,80
2020-05-31T00:00:00.000Z,16-19,,,110
2020-06-01T00:00:00.000Z,0-4,,,11
2020-06-01T00:00:00.000Z,5-11,,,82
2020-06-01T00:00:00.000Z,12-15,,,116
2020-06-01T00:00:00.000Z,16-19,,,125
2020-06-02T00:00:00.000Z,0-4,,,12
2020-06-02T00:00:00.000Z,5-11,,,106
2020-06-02T00:00:00.000Z,12-15,,,141
2020-06-02T00:00:00.000Z,16-19,,,166
2020-06-03T00:00:00.000Z,0-4,,,15
2020-06-03T00:00:00.000Z,5-11,,,125
2020-06-03T00:00:00.000Z,12-15,,,153
2020-06-03T00:00:00.000Z,16-19,,,182
2020-06-04T00:00:00.000Z,0-4,,,25
2020-06-04T00:00:00.000Z,5-11,,,162
2020-06-04T00:00:00.000Z,12-15,,,190
2020-06-04T00:00:00.000Z,16-19,,,234
2020-06-05T00:00:00.000Z,0-4,,,27
2020-06-05T00:00:00.000Z,5-11,,,186
2020-06-05T00:00:00.000Z,12-15,,,218
2020-06-05T00:00:00.000Z,16-19,,,254
2020-06-06T00:00:00.000Z,0-4,,,27
2020-06-06T00:00:00.000Z,5-11,,,186
2020-06-06T00:00:00.000Z,12-15,,,226
2020-06-06T00:00:00.000Z,16-19,,,258
2020-06-07T00:00:00.000Z,0-4,,,28
2020-06-07T00:00:00.000Z,5-11,,,221
2020-06-07T00:00:00.000Z,12-15,,,222
2020-06-07T00:00:00.000Z,16-19,,,239
2020-06-08T00:00:00.000Z,0-4,,,35
2020-06-08T00:00:00.000Z,5-11,,,209
2020-06-08T00:00:00.000Z,12-15,,,208
2020-06-08T00:00:00.000Z,16-19,,,241
2020-06-09T00:00:00.000Z,0-4,,,43
2020-06-09T00:00:00.000Z,5-11,,,197
2020-06-09T00:00:00.000Z,12-15,,,217
2020-06-09T00:00:00.000Z,16-19,,,238
2020-06-10T00:00:00.000Z,0-4,,,45
2020-06-10T00:00:00.000Z,5-11,,,206
2020-06-10T00:00:00.000Z,12-15,,,209
2020-06-10T00:00:00.000Z,16-19,,,219
2020-06-11T00:00:00.000Z,0-4,,,47
2020-06-11T00:00:00.000Z,5-11,,,197
2020-06-11T00:00:00.000Z,12-15,,,176
2020-06-11T00:00:00.000Z,16-19,,,165
2020-06-12T00:00:00.000Z,0-4,,,50
2020-06-12T00:00:00.000Z,5-11,,,203
2020-06-12T00:00:00.000Z,12-15,,,158
2020-06-12T00:00:00.000Z,16-19,,,143
2020-06-13T00:00:00.000Z,0-4,,,52
2020-06-13T00:00:00.000Z,5-11,,,216
2020-06-13T00:00:00.000Z,12-15,,,157
2020-06-13T00:00:00.000Z,16-19,,,149
2020-06-14T00:00:00.000Z,0-4,,,56
2020-06-14T00:00:00.000Z,5-11,,,213
2020-06-14T00:00:00.000Z,12-15,,,147
2020-06-14T00:00:00.000Z,16-19,,,145
2020-06-15T00:00:00.000Z,0-4,,,56
2020-06-15T00:00:00.000Z,5-11,,,217
2020-06-15T00:00:00.000Z,12-15,,,135
2020-06-15T00:00:00.000Z,16-19,,,147
2020-06-16T00:00:00.000Z,0-4,,,53
2020-06-16T00:00:00.000Z,5-11,,,234
2020-06-16T00:00:00.000Z,12-15,,,117
2020-06-16T00:00:00.000Z,16-19,,,123
2020-06-17T00:00:00.000Z,0-4,,,55
2020-06-17T00:00:00.000Z,5-11,,,221
2020-06-17T00:00:00.000Z,12-15,,,122
