dayDate,ageGroup,verifiedNormalized,avgVerifiedAmount7Days
2020-05-18T00:00:00.000Z,12-15,0.47,1
2020-05-18T00:00:00.000Z,16-19,0.17,1
2020-05-19T00:00:00.000Z,0-4,0.11,1
2020-05-19T00:00:00.000Z,5-11,0.32,2
2020-05-19T00:00:00.000Z,12-15,0.31,1
2020-05-19T00:00:00.000Z,16-19,0.34,1
2020-05-20T00:00:00.000Z,0-4,0.22,1
2020-05-20T00:00:00.000Z,5-11,0.08,2
2020-05-20T00:00:00.000Z,12-15,0,1
2020-05-20T00:00:00.000Z,16-19,0,1
2020-05-21T00:00:00.000Z,0-4,0,1
2020-05-21T00:00:00.000Z,5-11,0.08,2
2020-05-21T00:00:00.000Z,12-15,0.16,1
2020-05-21T00:00:00.000Z,16-19,0,0
2020-05-22T00:00:00.000Z,0-4,0.11,1
2020-05-22T00:00:00.000Z,5-11,0.16,2
2020-05-22T00:00:00.000Z,12-15,0.16,1
2020-05-22T00:00:00.000Z,16-19,0.17,0
2020-05-23T00:00:00.000Z,0-4,0.22,1
2020-05-23T00:00:00.000Z,5-11,0,2
2020-05-23T00:00:00.000Z,12-15,0,1
2020-05-23T00:00:00.000Z,16-19,0,0
2020-05-24T00:00:00.000Z,0-4,0.11,1
2020-05-24T00:00:00.000Z,5-11,0,1
2020-05-24T00:00:00.000Z,12-15,0,1
2020-05-24T00:00:00.000Z,16-19,0.34,0
2020-05-25T00:00:00.000Z,0-4,0.11,1
2020-05-25T00:00:00.000Z,5-11,0.24,1
2020-05-25T00:00:00.000Z,12-15,0.16,0
2020-05-25T00:00:00.000Z,16-19,0.17,0
2020-05-26T00:00:00.000Z,0-4,0,1
2020-05-26T00:00:00.000Z,5-11,0.4,1
2020-05-26T00:00:00.000Z,12-15,0.31,0
2020-05-26T00:00:00.000Z,16-19,0.17,0
2020-05-27T00:00:00.000Z,0-4,0.33,1
2020-05-27T00:00:00.000Z,5-11,0.32,2
2020-05-27T00:00:00.000Z,12-15,0.63,1
2020-05-27T00:00:00.000Z,16-19,0.17,0
2020-05-28T00:00:00.000Z,0-4,0.55,1
2020-05-28T00:00:00.000Z,5-11,0.16,2
2020-05-28T00:00:00.000Z,12-15,2.04,3
2020-05-28T00:00:00.000Z,16-19,1.01,1
2020-05-29T00:00:00.000Z,0-4,0.11,1
2020-05-29T00:00:00.000Z,5-11,0,2
2020-05-29T00:00:00.000Z,12-15,11.47,13
2020-05-29T00:00:00.000Z,16-19,2.53,3
2020-05-30T00:00:00.000Z,0-4,0,1
2020-05-30T00:00:00.000Z,5-11,0.08,2
2020-05-30T00:00:00.000Z,12-15,1.57,14
2020-05-30T00:00:00.000Z,16-19,0.51,4
2020-05-31T00:00:00.000Z,0-4,0,1
2020-05-31T00:00:00.000Z,5-11,0.65,3
2020-05-31T00:00:00.000Z,12-15,4.56,18
2020-05-31T00:00:00.000Z,16-19,0.84,4
2020-06-01T00:00:00.000Z,0-4,0.66,2
