day_date,age_group,death_amount_vaccinated,death_amount_expired,death_amount_not_vaccinated,death_vaccinated_normalized,death_expired_normalized,death_not_vaccinated_normalized
2021-05-04T00:00:00.000Z,מתחת לגיל 60,0,0,0,0,,0
2021-05-05T00:00:00.000Z,מתחת לגיל 60,0,0,1,0,,0
2021-05-05T00:00:00.000Z,מעל גיל 60,0,0,1,0,,0.5
2021-05-05T00:00:00.000Z,כלל האוכלוסיה,0,0,2,0,,0
2021-05-06T00:00:00.000Z,מתחת לגיל 60,0,0,1,0,,0
2021-05-06T00:00:00.000Z,מעל גיל 60,0,0,1,0,,0.5
2021-05-06T00:00:00.000Z,כלל האוכלוסיה,0,0,2,0,,0
2021-05-07T00:00:00.000Z,מעל גיל 60,0,0,1,0,,0.5
2021-05-07T00:00:00.000Z,מתחת לגיל 60,0,0,1,0,,0
2021-05-07T00:00:00.000Z,כלל האוכלוסיה,0,0,2,0,,0
