name,score,governmentColor,sickTo10000,positiveTests,growthLastWeek,activeSick,color,date,firstDose,secondDose,activeSickTo1000
נאעורה,2,ירוק,0.0,0,0, 0 ,ירוק,2021-07-11T00:00:00.000Z,59.82942430703625,54.54157782515991,0.0
ביר הדאג',2,ירוק,0.0,0,0, 0 ,ירוק,2021-07-11T00:00:00.000Z,2.4854045037531276,2.0183486238532113,0.0
קרית אתא,2.3,ירוק,2.0,0.0102389078498,0.2, קטן מ-15 ,ירוק,2021-07-11T00:00:00.000Z,68.5652122581842,63.49192963518915,
כפר ורדים,2.4,ירוק,1.8,0.0047619047619,0, קטן מ-15 ,ירוק,2021-07-11T00:00:00.000Z,80.12738853503186,74.8680618744313,
סייד (שבט),2,ירוק,0.0,0,0, 0 ,ירוק,2021-07-11T00:00:00.000Z,11.794634597594818,9.990749306197964,0.0
אופקים,1.7,ירוק,1.9,0.0124223602484,0, קטן מ-15 ,ירוק,2021-07-11T00:00:00.000Z,54.88603372660449,49.369942553585766,
ג'סר א-זרקא,1.7,ירוק,0.7,0.0058823529411,0, קטן מ-15 ,ירוק,2021-07-11T00:00:00.000Z,56.494408787136905,49.96360749024019,
קדימה-צורן,5.2,ירוק,8.8,0.0185185185185,1,25,ירוק,2021-07-11T00:00:00.000Z,68.61873101140417,62.62163709215799,11.0
אבו ג'ווייעד (שבט),2,ירוק,0.0,0,0, 0 ,ירוק,2021-07-11T00:00:00.000Z,19.27296192729619,16.84233168423317,0.0
קרית ים,2.9,ירוק,3.0,0.009958506224,0.2, קטן מ-15 ,ירוק,2021-07-11T00:00:00.000Z,71.11122394577166,66.76483282134606,
עין מאהל,2,כתום,0.7,0.0057142857142,0, קטן מ-15 ,כתום,2021-07-11T00:00:00.000Z,58.006644518272424,49.988925802879294,
שייח' דנון,2.7,צהוב,3.4,0.030303030303,0, קטן מ-15 ,צהוב,2021-07-11T00:00:00.000Z,56.47138964577657,52.213896457765664,
עראבה,1.7,ירוק,0.4,0.0024038461538,0, קטן מ-15 ,ירוק,2021-07-11T00:00:00.000Z,54.472101697495624,48.580345588795005,
אלון שבות,2,ירוק,0.0,0,0, 0 ,ירוק,2021-07-11T00:00:00.000Z,76.5348762455802,67.14882674381228,0.0
שפרעם,2.6,ירוק,1.9,0.0125786163522,0, קטן מ-15 ,ירוק,2021-07-11T00:00:00.000Z,59.6627358490566,53.72169811320755,
ראשון לציון,4.9,ירוק,5.0,0.0126845704092,1.1694915254237,150,ירוק,2021-07-11T00:00:00.000Z,70.20645509220724,65.48764903806699,5.9
רמלה,4,ירוק,6.1,0.0234180368709,0.5161290322580001,64,ירוק,2021-07-11T00:00:00.000Z,58.89367124819578,52.53631197742611,8.3
ג'ש (גוש חלב),2,ירוק,0.0,0,0, 0 ,ירוק,2021-07-11T00:00:00.000Z,65.25641025641026,59.93589743589743,0.0
קרית עקרון,2,ירוק,0.9,0.0049751243781,0, קטן מ-15 ,ירוק,2021-07-11T00:00:00.000Z,63.40402392604676,58.963204640203,
עוזייר,2,ירוק,0.0,0,0, 0 ,ירוק,2021-07-11T00:00:00.000Z,54.31290898274837,50.7733491969066,0.0
עמנואל,2,ירוק,0.0,0,0, 0 ,ירוק,2021-07-11T00:00:00.000Z,22.861960973259453,19.802457239219464,0.0
מזכרת בתיה,3.4,ירוק,2.0,0.0051546391752,0, קטן מ-15 ,ירוק,2021-07-11T00:00:00.000Z,74.36237164624048,66.98906922822127,
שערי תקווה,9.9,ירוק,128.9,0.0518867924528,6.8,80,ירוק,2021-07-11T00:00:00.000Z,65.16779632997189,58.72044966110101,132.3
אבטין,2,ירוק,0.0,0,0, 0 ,ירוק,2021-07-11T00:00:00.000Z,55.21302390024246,49.393834430204365,0.0
מוקייבלה,2,צהוב,0.0,0,0, 0 ,צהוב,2021-07-11T00:00:00.000Z,60.596508244422886,51.26091173617847,0.0
רעננה,5.1,ירוק,6.5,0.0096767950454,0.7857142857142001,58,ירוק,2021-07-11T00:00:00.000Z,78.16211440006238,72.41872190025728,7.5
מגאר,2,ירוק,0.0,0,0, 0 ,ירוק,2021-07-11T00:00:00.000Z,61.84951226848868,56.679987967856995,0.0
ירושלים,3.1,ירוק,0.8,0.0043172921943,1.4193548387096,92,ירוק,2021-07-11T00:00:00.000Z,48.342771031234655,42.09961843436357,1.0
