priod_Desc,visited_country,colorName,color_number,sum_arrived,sum_positived,percent_positive,last_update_date
year,ליכטנשטיין,כתום,2,1,0,0,
year,אלגיריה,כתום,2,10,0,0,
year,גיברלטר,כתום,2,110,1,0.91,
year,ארמניה,כתום,2,1256,16,1.27,
year,אורגוואי,צהוב,3,453,3,0.66,
year,גאנה,כתום,2,668,7,1.05,
year,גרמניה,כתום,2,68056,174,0.26,
year,צ'ילה,כתום,2,257,0,0,
year,קיריבטי,כתום,2,5,0,0,
year,סורינם,כתום,2,4,0,0,
year,גויאנה,כתום,2,9,0,0,
year,טוגו,כתום,2,84,0,0,
year,אבחזיסטאן,כתום,2,60,1,1.67,
year,אוגנדה,כתום,2,371,6,1.62,
